From,To,Onboard_private,Onboard_business,Onboard_total
Vätteryd,Tjörnarp,116.09699,29.82421846153847,145.92120846153847
Älmhult,Diö Södra,136.81624461538462,34.44532846153846,171.26157307692307
Älmhult,Killeberg,140.96811769230771,34.619511538461545,175.58762923076924
Älvsjö,Stuvsta,122.756,32.16422307692308,154.92022307692307
Älvsjö,Årstaberg,121.46648999999996,31.254420769230766,152.72091076923073
Åby,Norrköpings central,142.44854846153845,34.9316923076923,177.38024076923077
Åby,Simonstorp,141.01927538461536,33.48742923076922,174.5067046153846
Åkarp,Burlöv,81.2552676923077,22.34729076923078,103.60255846153846
Åkarp,Åkarps norra,78.48471538461538,23.38663846153846,101.87135384615385
Åkarps norra,Hjärup,78.48471538461538,23.38663846153846,101.87135384615385
Åkarps norra,Åkarp,81.2552676923077,22.34729076923078,103.60255846153846
Årstaberg,Stockholms Södra,121.46648999999996,31.254420769230766,152.72091076923073
Årstaberg,Älvsjö,122.756,32.16422307692308,154.92022307692307
Örtofta,Dammstorp,110.33884846153848,29.56352384615385,139.90237230769233
Örtofta,Stångby,114.93503230769231,29.63283230769232,144.56786461538462
